title,platforms,rating,votes,developer,release_date,price,genres,url
Borderlands 3 PS4™ &  PS5™,"['PS4', 'PS5']",4.53,28540,2K,2020-11-12,59.99,"['Shooter', 'Action', 'Unique']",https://store.playstation.com/en-us/concept/227478
PUBG: BATTLEGROUNDS,['PS4'],3.99,143698,"KRAFTON, Inc.",2018-12-07,0.0,"['Shooter', 'Shooter', 'Shooter']",https://store.playstation.com/en-us/concept/232860
3on3 FreeStyle,['PS4'],3.74,123523,JOYCITY Corporation,2016-12-06,0.0,"['Sport', 'Sport']",https://store.playstation.com/en-us/concept/217611
High On Life,"['PS4', 'PS5']",4.63,2135,"Squanch Games, Inc.",2023-07-22,39.99,"['Shooter', 'Adventure']",https://store.playstation.com/en-us/concept/10007961
Sniper Elite 5 PS4™ & PS5™,"['PS4', 'PS5']",4.29,6262,Rebellion,2022-05-26,20.99,"['Fighting', 'Action']",https://store.playstation.com/en-us/concept/234363
Beat Saber,"['PS4', 'PS5']",4.7,24447,Beat Games s.r.o.,2023-05-24,29.99,"['Family', 'Music/Rhythm', 'Party']",https://store.playstation.com/en-us/concept/232492
Mortal Kombat X,['PS4'],4.55,112286,Warner Bros. Interactive,2015-04-14,4.99,"['Fighting', 'Fighting']",https://store.playstation.com/en-us/concept/202943
RoboCop: Rogue City,['PS5'],4.41,4011,NACON SA,2023-11-02,29.99,['Action'],https://store.playstation.com/en-us/concept/10003485
Wizardry: Proving Grounds of the Mad Overlord,"['PS4', 'PS5']",4.55,246,Digital Eclipse Entertainment Partners Co.,2024-05-23,39.99,['Role Playing Games'],https://store.playstation.com/en-us/concept/10010381
Grand Theft Auto: The Trilogy – The Definitive Edition (PS5 & PS4),"['PS4', 'PS5']",3.79,7303,Rockstar Games,2021-11-11,29.99,['Action'],https://store.playstation.com/en-us/concept/10003543
The Crew® 2,['PS4'],4.16,252191,Ubisoft Entertainment,2018-06-29,0.0,['Driving/Racing'],https://store.playstation.com/en-us/concept/227552
Car Mechanic Simulator 2021,"['PS4', 'PS5']",4.58,2452,PlayWay plc,2022-05-02,16.49,"['Educational', 'Driving/Racing', 'Simulator']",https://store.playstation.com/en-us/concept/10001967
Resident Evil Village PS4 & PS5,"['PS4', 'PS5']",4.71,24697,"Capcom U.S.A., Inc.",2021-05-07,39.99,"['Action', 'Horror']",https://store.playstation.com/en-us/concept/235235
SnowRunner,"['PS4', 'PS5']",4.24,21045,Focus Entertainment,2022-05-31,39.99,"['Arcade', 'Driving/Racing', 'Simulation']",https://store.playstation.com/en-us/concept/234959
Mad Max,['PS4'],4.45,49264,Warner Bros. Interactive,2015-09-01,4.99,"['Action', 'Adventure']",https://store.playstation.com/en-us/concept/202765
DRAGON BALL FighterZ PS4 & PS5,"['PS4', 'PS5']",4.33,55396,Bandai Namco Entertainment America Inc.,2024-02-29,59.99,"['Fighting', 'Fighting']",https://store.playstation.com/en-us/concept/228726
THE FOREST,['PS4'],4.49,52241,ENDNIGHT GAMES LIMITED,2018-11-06,19.99,"['Action', 'Adventure', 'Horror']",https://store.playstation.com/en-us/concept/231416
Days Gone,['PS4'],4.61,111516,Sony Interactive Entertainment,2019-04-26,15.99,"['Action', 'Adventure', 'Horror']",https://store.playstation.com/en-us/concept/229018
STAR WARS™ Battlefront™ II,['PS4'],4.31,134019,Electronic Arts Inc,2017-11-17,5.99,"['Action', 'Adventure', 'Shooter']",https://store.playstation.com/en-us/concept/229438
Granblue Fantasy Versus: Rising Standard Edition,"['PS4', 'PS5']",4.56,1898,"Cygames, Inc.",2023-12-14,39.99,"['Fighting', 'Action', 'Party']",https://store.playstation.com/en-us/concept/10007911
Neverwinter,['PS4'],4.16,103524,Gearbox Publishing,2016-07-19,0.0,"['Role Playing Games', 'Role Playing Games', 'Role Playing Games']",https://store.playstation.com/en-us/concept/217642
Wreckfest PlayStation®5 Version,"['PS4', 'PS5']",4.38,9374,THQ Nordic,2021-05-04,11.99,"['Driving/Racing', 'Simulation', 'Sport']",https://store.playstation.com/en-us/concept/227252
Sonic Frontiers PS4 & PS5,"['PS4', 'PS5']",4.48,6344,"SEGA of America, Inc.",2022-11-08,20.99,['Action'],https://store.playstation.com/en-us/concept/10002956
Rec Room,"['PS4', 'PS5']",4.15,207193,Against Gravity Corp.,2021-12-09,0.0,"['Sport', 'Unique']",https://store.playstation.com/en-us/concept/229261
Sky: Children of the Light,['PS4'],4.45,8022,"thatgamecompany, Inc.",2022-12-06,0.0,"['Adventure', 'Role Playing Games']",https://store.playstation.com/en-us/concept/10004206
Call of Duty®: Modern Warfare®,['PS4'],4.13,1126905,Activision,2019-10-24,59.99,['Shooter'],https://store.playstation.com/en-us/concept/229182
Stardew Valley,['PS4'],4.8,17653,ConcernedApe LLC,2016-12-13,14.99,"['Adventure', 'Role Playing Games', 'Simulation']",https://store.playstation.com/en-us/concept/227229
STAR WARS Jedi: Fallen Order™,"['PS4', 'PS5']",4.3,43731,Electronic Arts Inc,2021-06-11,9.99,"['Adventure', 'Action', 'Unique']",https://store.playstation.com/en-us/concept/232345
